Title,Company,Location,Summary,Date
AI Data Annotator - Arabic,Welocalize logo,Dubai · UAE,"Seeking native Gulf Arabic speakers to create culturally relevant prompts and evaluate AI responses. Flexible hours, competitive pay, and cultural representation.",12 days ago
AI Data Annotator - Arabic,Welocalize logo,Al Kuwait · Kuwait,Native Gulf Arabic speakers needed for prompt creation and AI response evaluation. Flexible hours and competitive pay offered in a culturally significant project.,12 days ago
AI Data Annotator - Arabic,Welocalize logo,Doha · Qatar,"Contribute to AI by crafting prompts and evaluating responses in Gulf Arabic. Native fluency required, flexible hours, competitive pay, and cultural impact.",12 days ago
"Director, AI Adoption & Value Realisation",Michael Page logo,Dubai · UAE,"A strategic leader is sought for AI adoption and value realization. Responsibilities include defining value metrics, developing strategies, and engaging customers. A master's degree and 10+ years of related…",20 days ago
D/AI Strategic Initatives,Michael Page logo,Dubai · UAE,"Lead AI strategic initiatives in Dubai. Oversee platform delivery, collaborate with teams, and drive innovation in AI systems. Requires 10+ years in AI roles.",20 days ago
AI Specialist,Louis Charles International LLC FZ logo,Dubai · UAE,"Seeking an AI Specialist in Dubai to implement AI tools, optimize processes, and lead strategic initiatives. Requires 2+ years in AI software and strong analytical skills.",20 days ago
Head of Data Science & AI Products | Blue Rewards | Corporate Services,Al Futtaim Group logo,Dubai · UAE,Overview of the role: We are seeking a dynamic and highly technical Head of Data Science & AI Products to lead our Data Science…,30+ days ago
Data Analyst,Nukh Marketing logo,Abu Dhabi · UAE,Part-time Data Analyst position available in Abu Dhabi. Requires strong typing skills and access to a laptop and internet. Remote work with occasional office visits.,18 hours ago
JIGPC PD Project EH&S Data Analyst,Airswift logo,Jizan · Saudi Arabia,"Seeking an EH&S Data Analyst in Jizan, Saudi Arabia to manage EHS data, analyze trends, and support safety initiatives. Requires a relevant degree and data analysis skills.",3 days ago
DATA Analysts,Ajdan Real Estate Development Company logo,Eastern Province · Saudi Arabia,"Seeking a Data Analyst in Eastern Province, Saudi Arabia. Analyze data, build dashboards, automate pipelines, and mentor colleagues. Competitive benefits.",6 days ago
Business Intelligence Planner,Confidential Company logo,Manama · Bahrain,"Seeking a Business Intelligence Planner in Manama, Bahrain. Responsibilities include BI strategy, data analysis, solution design, and stakeholder collaboration.",14 days ago
Analyst Assistant,Aqua Majestic  logo,Dubai · UAE,"An Analyst Assistant position is offered in Dubai, focusing on data support, report preparation, and market analysis. Flexible work and competitive salary are provided.",15 days ago
Data Analyst,Dar Al Majd Consulting Engineers (DAMCE) logo,Riyadh · Saudi Arabia,"Seeking a Data Analyst in Riyadh to analyze datasets, develop reports, and collaborate with teams. Requires a degree in Computer Engineering and 5 years of experience.",17 days ago
Assistant Analyst (with training) – Remote,Trifecta logo,Dubai · UAE,An Assistant Analyst role is offered to support digital asset processes with training provided. A flexible remote schedule and career growth opportunities are available.,20 days ago
