Title,Company,Location,Summary,Date
AI Data Annotator - Arabic,Welocalize,Dubai · UAE,"Seeking native Gulf Arabic speakers to create culturally relevant prompts and evaluate AI responses. Flexible hours, competitive pay, and cultural representation.",12 days ago
AI Data Annotator - Arabic,Welocalize,Al Kuwait · Kuwait,Native Gulf Arabic speakers needed for prompt creation and AI response evaluation. Flexible hours and competitive pay offered in a culturally significant project.,12 days ago
AI Data Annotator - Arabic,Welocalize,Doha · Qatar,"Contribute to AI by crafting prompts and evaluating responses in Gulf Arabic. Native fluency required, flexible hours, competitive pay, and cultural impact.",12 days ago
"Director, AI Adoption & Value Realisation",Michael Page,Dubai · UAE,"A strategic leader is sought for AI adoption and value realization. Responsibilities include defining value metrics, developing strategies, and engaging customers. A master's degree and 10+ years of related…",20 days ago
D/AI Strategic Initatives,Michael Page,Dubai · UAE,"Lead AI strategic initiatives in Dubai. Oversee platform delivery, collaborate with teams, and drive innovation in AI systems. Requires 10+ years in AI roles.",20 days ago
AI Specialist,Louis Charles International LLC FZ,Dubai · UAE,"Seeking an AI Specialist in Dubai to implement AI tools, optimize processes, and lead strategic initiatives. Requires 2+ years in AI software and strong analytical skills.",20 days ago
Head of Data Science & AI Products | Blue Rewards | Corporate Services,Al Futtaim Group,Dubai · UAE,Overview of the role: We are seeking a dynamic and highly technical Head of Data Science & AI Products to lead our Data Science…,30+ days ago
Data Analyst,Nukh Marketing,Abu Dhabi · UAE,Part-time Data Analyst position available in Abu Dhabi. Requires strong typing skills and access to a laptop and internet. Remote work with occasional office visits.,19 hours ago
JIGPC PD Project EH&S Data Analyst,Airswift,Jizan · Saudi Arabia,"Seeking an EH&S Data Analyst in Jizan, Saudi Arabia to manage EHS data, analyze trends, and support safety initiatives. Requires a relevant degree and data analysis skills.",3 days ago
DATA Analysts,Ajdan Real Estate Development Company,Eastern Province · Saudi Arabia,"Seeking a Data Analyst in Eastern Province, Saudi Arabia. Analyze data, build dashboards, automate pipelines, and mentor colleagues. Competitive benefits.",6 days ago
Business Intelligence Planner,Confidential Company,Manama · Bahrain,"Seeking a Business Intelligence Planner in Manama, Bahrain. Responsibilities include BI strategy, data analysis, solution design, and stakeholder collaboration.",15 days ago
Analyst Assistant,Aqua Majestic,Dubai · UAE,"An Analyst Assistant position is offered in Dubai, focusing on data support, report preparation, and market analysis. Flexible work and competitive salary are provided.",15 days ago
Data Analyst,Dar Al Majd Consulting Engineers (DAMCE),Riyadh · Saudi Arabia,"Seeking a Data Analyst in Riyadh to analyze datasets, develop reports, and collaborate with teams. Requires a degree in Computer Engineering and 5 years of experience.",17 days ago
Assistant Analyst (with training) – Remote,Trifecta,Dubai · UAE,An Assistant Analyst role is offered to support digital asset processes with training provided. A flexible remote schedule and career growth opportunities are available.,20 days ago
"Senior Manager, Data Architect",Michael Page,Bahrain,"A Senior Manager, Data Architect position is available in Bahrain, focusing on data architecture strategy and oversight for a leading investment firm.",20 days ago
Senior Data Associate (German Speaker) - 100% Onsite Role,Amazon MENA,Amman · Jordan,Seeking a Senior Data Associate in Amman. Responsibilities include data labeling and quality analysis. Requires C1+ German fluency and strong analytical skills. Competitive benefits offered.,21 days ago
Data Analyst,Miraaya.com,Baghdad · Iraq,"Seeking a Data Analyst in Baghdad to collect, analyze, and visualize data for strategic insights. Requires strong analytical skills and proficiency in SQL.",30+ days ago
Business Intelligence Analyst,RTC1 Recruitment Services,Dubai · UAE,"Design, develop, and maintain interactive dashboards and reports using Power BI. Gather and analyze business requirements to transform…",30+ days ago
Director of Data Science,Michael Page,UAE,"Director of Data Science position available in UAE, focusing on strategy and implementation of data solutions. Requires 8+ years experience, benefits included.",20 days ago
Data Engineer - IT,Kinetic Business Solutions,Dubai · UAE,A reputable and well-established Technology company is actively recruiting a Data Engineer for their team in Abu Dhabi. Please…,30+ days ago
DATA SCIENTIST,Duncan & Ross,Abu Dhabi · UAE,"About the jobDATA SCIENTISTKEY RESPONSIBILITIES Analyse and interpret complexdatasets to ... algorithms. Design, test, and optimizedatascience workflows in Azure Databricks",7 days ago
Team Lead Data Scientist,swatX Solutions,Saudi Arabia,"Job Summary: The Team Lead Data Scientist will oversee the data science team, leading initiatives to develop and implement advanced…",8 days ago
Data Scientist,Zurich,Manama · Bahrain,"Job Summary Zurich Middle East is part of Zurich Insurance Group, one of the world’s largest and most experienced insurers. Our mission…",11 days ago
Data Scientist (Saudi nationals),VISA,Riyadh · Saudi Arabia,"Company Description Visa is a world leader in payments and technology, with over 259 billion payments transactions flowing safely…",11 days ago
"Data Scientist -UAE National , AWS Generative AI Innovation Center",Amazon Web Services EMEA Dubai FZ Branch - Q29,UAE,"is a team of strategists,datascientists, engineers, and solution architects ... -center). We’re looking forDataScientists to use generative AI ...",12 days ago
Data Scientist - AI and Advanced Analytics | Real Estate | AFET,Al Futtaim,UAE,"Job Requisition ID: 170233 Established in the 1930s as a trading business, Al-Futtaim Group today is one of the most diversified…",12 days ago
Data Scientist - AI and Advanced Analytics | Real Estate | AFET,Afuturewithus,UAE,# Data Scientist - AI and Advanced Analytics | Real Estate | AFET Location: AE Job Requisition ID: 170233 Established in the 1930s…,12 days ago
Data Scientist - 6 months contract,Müller`s Solutions,Saudi Arabia,"Solutions is seeking a skilledData Scientistfor a 6-month contract ... machine learning, statistical analysis, anddatamodeling to extract meaningful insights ... from complexdata...",13 days ago
Data Scientist,Atribs Metscon,Abu Dhabi · UAE,Responsibilities: Analyze and interpret complex data to provide actionable insights. Develop and implement machine learning models…,15 days ago
Data Scientist,the ENTERTAINER,Dubai · UAE,strategic and hands-onData Scientistto leaddatainnovation and decision science ... Digital Reach monetization. As aData Scientistyou will Strategic Impact & ...,30+ days ago
"Data Scientist - QuantumBlack, AI by McKinsey",McKinsey & Company,Saudi Arabia,"QUALIFICATIONS Undergraduate degree in mathematics, statistics, physics, engineering; master's degree is a plus 3+ years of professional…",30+ days ago
Senior Data Scientist,IsDB Group,Jeddah · Saudi Arabia,- SeniorData ScientistBusiness Unit President Complex Division Statistics &DataSolution Department ... Purpose Undertake advanced statistical anddatascience work. This...,30+ days ago
Director Data Scientist - Analysis - Growth,Delivery Hero SE,Dubai · UAE,"Company Description Since launching in Kuwait in 2004, talabat, the leading on-demand food and Q-commerce app for everyday deliveries,…",30+ days ago
Data Scientist,Salla,Saudi Arabia,We are looking for aData Scientistto design and develop Machine ... rely on you to builddataproducts to extract valuable business ... skills are essential for interpretingdata.,30+ days ago
Data Scientist (AI) Engineer.,Talent 360,Riyadh · Saudi Arabia,"are looking for a skilledData Scientistto join our team and ... ideal candidate has experience withdatamodeling, machine learning, and ...",30+ days ago
"Data Scientist II - Analysis, Lifecycle",Delivery Hero SE,Dubai · UAE,"Company Description Since launching in Kuwait in 2004, talabat, the leading on-demand food and Q-commerce app for everyday deliveries,…",30+ days ago
Senior Data Scientist,Lean Technologies,Riyadh · Saudi Arabia,"About the job As a Senior Data Scientist, you will be a key part of Lean’s mission to delight our clients by providing insights based…",30+ days ago
